  I     	  II     	  AO     	  AO'		
-33.57   	-54.02   	 90.17   	 -55.95		
-51.27   	-26.55   	 89.95   	 -50.86		
-71.11   	 12.51   	 89.75   	 -50.86		
-83.31   	 71.72   	 89.54   	 -45.78		
-76.90   	159.30   	 89.36   	 -40.69		
-43.03   	277.71   	 89.20   	 -45.78		
 22.89   	420.53   	 89.01   	 -40.69		
120.85   	568.54   	 88.85   	 -91.56		
384.83   	720.83(R)	 88.48   	 -45.78		
520.32   	639.04   	 88.30   	 -50.86		
626.53   	438.23   	 88.10   	 -55.95		
679.93   	155.33   	 87.87   	 -55.95		
664.37   	-141.60   	 87.65   	 -55.95		
579.53   	-374.45   	 87.43   	 -50.86		
441.59   	-491.33   	 87.22   	 -55.95		
279.24   	-480.04   	 87.00   	 -50.86		
126.95   	-366.82   	 86.80   	 -50.86		
 12.21   	-209.66   	 86.59   	 -40.69		
-52.19   	-76.90   	 86.43   	 -40.69		
-70.80   	-10.38   	 86.27   	 -30.52		
-61.95   	 -6.71   	 86.14   	 -25.43		
-46.39   	-33.26   	 86.04   	 -20.35		
-36.93   	-55.54   	 85.96   	 -15.26		
-36.62   	-56.76   	 85.90   	  -5.09		
-40.59   	-43.03   	 85.88(D)	  10.17		
-43.95   	-28.99   	 85.92   	  15.26		
-44.86   	-22.89   	 85.98   	  40.69		
-45.17   	-23.50   	 86.14   	  55.95		
-47.30   	-25.63   	 86.37   	  91.56		
-50.35   	-26.25   	 86.73   	 111.90		
-53.10   	-25.02   	 87.18   	 142.42		
-52.80   	-22.28   	 87.75   	 167.85		
-48.83   	-19.23   	 88.42   	 183.11		
-43.64   	-17.70   	 89.16   	 198.37		
-39.98   	-16.78   	 89.95   	 218.72		
-39.67   	-15.56   	 90.82   	 233.98		
-42.42   	-12.21   	 91.76   	 254.32		
-45.78   	 -7.32   	 92.78   	 284.84		
-47.91   	 -1.22   	 93.92   	 320.45		
-46.69   	  4.27   	 95.20   	 350.97		
-43.33   	  7.93   	 96.60   	 386.57		
-40.28   	  8.54   	 98.15   	 422.18		
-37.84   	  8.24   	 99.84   	 447.61		
-35.40   	 10.07   	101.63   	 473.04		
-33.87   	 17.40   	103.52   	 503.56		
-34.48   	 28.38   	105.53   	 518.82		
-36.93   	 38.76   	107.61   	 544.25		
-41.20   	 43.64   	109.79   	 559.51		
-44.86   	 43.33   	112.02   	 559.51		
-45.47   	 42.11   	114.26   	 564.60		
-41.81   	 46.69   	116.52   	 554.42		
-36.93   	 57.37   	118.74   	 549.34		
-33.26   	 71.11   	120.94   	 544.25		
-32.35   	 82.40   	123.11   	 544.25		
-33.57   	 88.50   	125.29   	 544.25		
-34.48   	 91.55   	127.47   	 544.25		
-34.48   	 97.35   	129.64   	 539.16		
-33.26   	109.56   	131.80   	 539.16		
-32.96   	126.04   	133.96   	 544.25		
-34.18   	143.13   	136.13   	 544.25		
-34.79   	158.08   	138.31   	 539.16		
